species,n_grid_year_detections,n_blocks_detected,n_grids_detected,candidate_rank,selected_in_run
Passer montanus,6145,5,1104,1,TRUE
Motacilla alba,5853,5,1077,2,TRUE
Hirundo rustica,4682,5,986,3,TRUE
Parus minor,4220,5,738,4,TRUE
Pica serica,3845,5,760,5,TRUE
Streptopelia orientalis,3711,5,852,6,TRUE
Phoenicurus auroreus,3599,5,733,7,TRUE
Spilopelia chinensis,3582,5,615,8,TRUE
Falco tinnunculus,3565,5,932,9,TRUE
Pycnonotus sinensis,3539,5,544,10,TRUE
Egretta garzetta,3484,5,628,11,TRUE
Tachybaptus ruficollis,3374,5,692,12,TRUE
Upupa epops,3369,5,822,13,TRUE
Ardea cinerea,3308,5,796,14,TRUE
Alcedo atthis,3133,5,654,15,TRUE
Lanius schach,3105,5,501,16,TRUE
Anas platyrhynchos,3090,5,810,17,TRUE
Phasianus colchicus,3017,5,732,18,TRUE
Motacilla cinerea,2974,5,754,19,TRUE
Cecropis daurica,2938,5,662,20,TRUE
Chloris sinica,2898,5,652,21,TRUE
Ardeola bacchus,2866,5,549,22,TRUE
Anthus hodgsoni,2760,5,634,23,TRUE
Ardea alba,2751,5,672,24,TRUE
Gallinula chloropus,2685,5,615,25,TRUE
Tadorna ferruginea,2643,5,733,26,TRUE
Cuculus canorus,2588,5,767,27,TRUE
Phalacrocorax carbo,2566,5,695,28,TRUE
Turdus mandarinus,2549,5,469,29,TRUE
Anas zonorhyncha,2527,5,603,30,TRUE
Acridotheres cristatellus,2516,5,424,31,TRUE
Corvus macrorhynchos,2472,5,653,32,TRUE
Fulica atra,2471,5,687,33,TRUE
Milvus migrans,2471,5,672,34,TRUE
Actitis hypoleucos,2436,5,697,35,TRUE
Podiceps cristatus,2415,5,652,36,TRUE
Lanius cristatus,2382,5,666,37,TRUE
Phoenicurus fuliginosus,2378,5,476,38,TRUE
Zosterops simplex,2368,5,461,39,TRUE
Copsychus saularis,2329,5,370,40,TRUE
Sinosuthora webbiana,2328,5,461,41,TRUE
Dicrurus macrocercus,2322,5,493,42,TRUE
Nycticorax nycticorax,2321,5,517,43,TRUE
Spodiopsar cineraceus,2278,5,579,44,TRUE
Phylloscopus inornatus,2237,5,552,45,TRUE
Cyanopica cyanus,2232,5,492,46,TRUE
Chroicocephalus ridibundus,2226,5,596,47,TRUE
Phylloscopus proregulus,2195,5,584,48,TRUE
Emberiza pusilla,2162,5,580,49,TRUE
Buteo japonicus,2145,5,655,50,TRUE
Bubulcus coromandus,2106,5,485,51,TRUE
Tringa ochropus,2099,5,633,52,TRUE
Corvus corone,2090,5,659,53,TRUE
Dendrocopos major,2077,5,545,54,TRUE
Aegithalos concinnus,2068,5,384,55,TRUE
Tarsiger cyanurus,2033,5,538,56,TRUE
Columba livia,1990,5,553,57,TRUE
Charadrius dubius,1972,5,593,58,TRUE
Accipiter nisus,1969,5,637,59,TRUE
Himantopus himantopus,1965,5,574,60,TRUE
Anas carolinensis,1965,5,570,61,TRUE
Spizixos semitorques,1911,5,340,62,TRUE
Prinia inornata,1904,5,375,63,TRUE
Phylloscopus fuscatus,1901,5,517,64,TRUE
Emberiza spodocephala,1896,5,538,65,TRUE
Sterna hirundo,1858,5,560,66,TRUE
Picus canus,1817,5,519,67,TRUE
Spodiopsar sericeus,1777,5,366,68,TRUE
Saxicola stejnegeri,1744,5,477,69,TRUE
Buteo hemilasius,1736,5,572,70,TRUE
Garrulus glandarius,1690,5,443,71,TRUE
Fringilla montifringilla,1689,5,531,72,TRUE
Mergus merganser,1677,5,527,73,TRUE
Columba rupestris,1661,5,500,74,TRUE
Tringa nebularia,1659,5,441,75,TRUE
Horornis fortipes,1637,5,353,76,TRUE
Pomatorhinus ruficollis,1636,5,331,77,TRUE
Myophonus caeruleus,1631,5,377,78,TRUE
Pardaliparus venustulus,1629,5,383,79,TRUE
Mareca strepera,1627,5,523,80,TRUE
Passer cinnamomeus,1627,5,442,81,TRUE
Eophona migratoria,1618,5,381,82,TRUE
Emberiza elegans,1615,5,411,83,TRUE
Streptopelia decaocto,1614,5,511,84,TRUE
Pyrrhocorax pyrrhocorax,1597,5,424,85,TRUE
Motacilla tschutschensis,1594,5,528,86,TRUE
Pycnonotus xanthorrhous,1589,5,327,87,TRUE
Tringa totanus,1572,5,452,88,TRUE
Lonchura striata,1544,5,323,89,TRUE
Falco peregrinus,1523,5,473,90,TRUE
Pterorhinus sannio,1515,5,305,91,TRUE
Tringa glareola,1486,5,475,92,TRUE
Hypsipetes leucocephalus,1474,5,305,93,TRUE
Carpodacus erythrinus,1465,5,463,94,TRUE
Aythya ferina,1461,5,456,95,TRUE
Charadrius alexandrinus,1452,5,375,96,TRUE
Motacilla citreola,1448,5,523,97,TRUE
Vanellus cinereus,1444,5,437,98,TRUE
Delichon dasypus,1440,5,398,99,TRUE
Vanellus vanellus,1439,5,474,100,TRUE
Apus pacificus,1438,5,455,101,TRUE
Falco subbuteo,1433,5,505,102,TRUE
Urocissa erythroryncha,1433,5,403,103,TRUE
Gallinago gallinago,1429,5,447,104,TRUE
Chlidonias hybrida,1419,5,460,105,TRUE
Lonchura punctulata,1385,5,297,106,TRUE
Apus nipalensis,1379,5,338,107,TRUE
Oriolus chinensis,1362,5,410,108,TRUE
Eudynamys scolopaceus,1352,5,380,109,TRUE
Spatula clypeata,1340,5,446,110,TRUE
Ixos mcclellandii,1339,5,300,111,TRUE
Falco amurensis,1322,5,437,112,TRUE
Amaurornis phoenicurus,1319,5,343,113,TRUE
Anthus richardi,1290,5,413,114,TRUE
Periparus ater,1279,5,364,115,TRUE
Mareca penelope,1273,5,404,116,TRUE
Turdus eunomus,1271,5,377,117,TRUE
Circus cyaneus,1267,5,478,118,TRUE
Cuculus micropterus,1257,5,426,119,TRUE
Aythya fuligula,1257,5,424,120,TRUE
Apus apus,1252,5,404,121,TRUE
Acrocephalus orientalis,1245,5,392,122,TRUE
Ficedula albicilla,1244,5,423,123,TRUE
Anas acuta,1235,5,423,124,TRUE
Emberiza cioides,1230,5,410,125,TRUE
Pernis ptilorhynchus,1229,5,418,126,TRUE
Ixobrychus sinensis,1225,5,351,127,TRUE
Alauda gulgula,1223,5,341,128,TRUE
Aegithalos glaucogularis,1221,5,329,129,TRUE
Abroscopus albogularis,1216,5,281,130,TRUE
Monticola solitarius,1212,5,343,131,TRUE
Recurvirostra avosetta,1204,5,359,132,TRUE
Alauda arvensis,1199,5,414,133,TRUE
Accipiter trivirgatus,1194,5,316,134,TRUE
Lanius tephronotus,1189,5,278,135,TRUE
Anthus spinoletta,1180,5,447,136,TRUE
Aythya nyroca,1180,5,412,137,TRUE
Phoenicurus ochruros,1179,5,333,138,TRUE
Dicrurus hottentottus,1175,5,313,139,TRUE
Tringa erythropus,1167,5,340,140,TRUE
Leiothrix lutea,1155,5,262,141,TRUE
Elanus caeruleus,1149,5,290,142,TRUE
Mareca falcata,1137,5,373,143,TRUE
Emberiza godlewskii,1136,5,304,144,TRUE
Gyps himalayensis,1131,5,274,145,TRUE
Tadorna tadorna,1124,5,356,146,TRUE
Turdus naumanni,1119,5,373,147,TRUE
Parus monticolus,1117,5,218,148,TRUE
Dicrurus leucophaeus,1115,5,300,149,TRUE
Platalea leucorodia,1100,5,348,150,TRUE
Riparia riparia,1099,5,443,151,TRUE
Enicurus leschenaulti,1095,5,276,152,TRUE
Anser anser,1093,5,388,153,TRUE
Bambusicola thoracicus,1072,5,232,154,TRUE
Hemixos castanonotus,1072,5,218,155,TRUE
Muscicapa sibirica,1070,5,352,156,TRUE
Picumnus innominatus,1067,5,285,157,TRUE
Aix galericulata,1065,5,368,158,TRUE
Butorides striata,1063,5,334,159,TRUE
Eremophila alpestris,1057,5,331,160,TRUE
Saxicola maurus,1055,5,393,161,TRUE
Pycnonotus jocosus,1052,5,197,162,TRUE
Cisticola juncidis,1044,5,282,163,TRUE
Circus spilonotus,1034,5,339,164,TRUE
Culicicapa ceylonensis,1006,5,266,165,TRUE
Turdus hortulorum,1000,5,289,166,TRUE
Phoenicurus frontalis,997,5,247,167,TRUE
Gracupica nigricollis,983,5,205,168,TRUE
Lanius sphenocercus,979,5,339,169,TRUE
Corvus corax,975,5,337,170,TRUE
Dendrocitta formosae,972,5,231,171,TRUE
Anthus rubescens,966,5,314,172,TRUE
Cinclus pallasii,963,5,265,173,TRUE
Pycnonotus aurigaster,959,5,191,174,TRUE
Limosa limosa,952,5,287,175,TRUE
Troglodytes troglodytes,943,5,302,176,TRUE
Trochalopteron elliotii,938,5,186,177,TRUE
Chlidonias leucopterus,936,5,323,178,TRUE
Ceryle rudis,928,5,230,179,TRUE
Tringa stagnatilis,926,5,274,180,TRUE
Spatula querquedula,922,5,351,181,TRUE
Phylloscopus humei,922,5,278,182,TRUE
Phylloscopus borealis,919,5,319,183,TRUE
Halcyon smyrnensis,914,5,213,184,TRUE
Ardea purpurea,912,5,287,185,TRUE
Pericrocotus solaris,911,5,238,186,TRUE
Regulus regulus,900,5,269,187,TRUE
Accipiter soloensis,894,5,267,188,TRUE
Aquila chrysaetos,892,5,322,189,TRUE
Emberiza tristrami,892,5,262,190,TRUE
Larus argentatus,892,5,237,191,TRUE
Ptyonoprogne rupestris,884,5,301,192,TRUE
Riparia diluta,882,5,317,193,TRUE
Psilopogon virens,881,5,238,194,TRUE
Ardea intermedia,880,4,351,195,TRUE
Picoides canicapillus,880,4,346,196,TRUE
Accipiter gentilis,878,5,338,197,TRUE
Accipiter virgatus,878,5,301,198,TRUE
Calidris temminckii,877,5,316,199,TRUE
Prinia flaviventris,877,5,184,200,TRUE
Streptopelia tranquebarica,876,5,302,201,FALSE
Eumyias thalassinus,875,5,230,202,FALSE
Emberiza pallasi,870,5,285,203,FALSE
Sitta europaea,868,5,284,204,FALSE
Pandion haliaetus,858,5,291,205,FALSE
Garrulax canorus,857,5,277,206,FALSE
Saxicola ferreus,854,5,250,207,FALSE
Aethopyga christinae,851,5,204,208,FALSE
Orthotomus sutorius,851,5,160,209,FALSE
Ficedula zanthopygia,848,5,275,210,FALSE
Numenius arquata,848,5,225,211,FALSE
Emberiza rustica,847,5,282,212,FALSE
Ciconia nigra,838,5,361,213,FALSE
Corvus frugilegus,838,5,340,214,FALSE
Athene noctua,835,5,294,215,FALSE
Anthus roseatus,835,5,273,216,FALSE
Emberiza chrysophrys,833,5,260,217,FALSE
Calidris alpina,833,5,199,218,FALSE
Spinus spinus,831,5,298,219,FALSE
Phoenicurus hodgsoni,830,5,236,220,FALSE
Bucephala clangula,829,5,304,221,FALSE
Anser cygnoides,829,5,256,222,FALSE
Anser indicus,828,5,279,223,FALSE
Netta rufina,826,5,314,224,FALSE
Podiceps nigricollis,810,5,280,225,FALSE
Pericrocotus ethologus,809,5,205,226,FALSE
Centropus sinensis,803,5,174,227,FALSE
Pluvialis fulva,799,5,244,228,FALSE
Charadrius placidus,798,5,313,229,FALSE
Zosterops erythropleurus,797,5,268,230,FALSE
Eurystomus orientalis,797,5,227,231,FALSE
Larus ichthyaetus,795,5,289,232,FALSE
Sturnus vulgaris,793,5,319,233,FALSE
Pterorhinus perspicillatus,792,4,234,234,FALSE
Nucifraga caryocatactes,791,5,206,235,FALSE
Halcyon pileata,789,5,277,236,FALSE
Cyanoderma ruficeps,788,4,257,237,FALSE
Phylloscopus claudiae,787,5,230,238,FALSE
Caprimulgus jotaka,786,5,290,239,FALSE
Spilornis cheela,783,5,231,240,FALSE
Glaucidium cuculoides,782,5,243,241,FALSE
Sternula albifrons,780,5,247,242,FALSE
Larus brunnicephalus,779,5,289,243,FALSE
Acrocephalus bistrigiceps,778,5,274,244,FALSE
Jynx torquilla,773,5,294,245,FALSE
Anser fabalis,769,5,293,246,FALSE
